
     Nr Kasety |  Wsp Kalibracji |  Niepewnosc   
----------------------------------------------------------
         20580B|3.5424814374e-06|3.2603712349e-09
               |3.4825246911e-06|3.1509411716e-09
               |8.0751179775e-07|1.6941413340e-10
               |9.2807769124e-07|2.2377963091e-10
         18237B|3.5261925583e-06|3.2304567838e-09
               |3.3345782425e-06|2.8889079946e-09
               |9.2293493309e-07|2.2130644156e-10
               |8.7494881549e-07|1.9889193889e-10
         20441G|9.7623454621e-07|2.4760546762e-10
               |1.0049604850e-06|2.6239155766e-10
               |9.1778820385e-07|2.1884510117e-10
               |9.1207921226e-07|2.1613096949e-10
         20478G|9.8752167610e-07|2.5336414811e-10
               |1.0804316541e-06|3.0328189525e-10
               |1.0289759631e-06|2.7508210938e-10
               |1.0348067602e-06|2.7820850394e-10
         20444B|2.8730018272e-06|2.1444883478e-09
               |2.8439792958e-06|2.1013807389e-09
               |8.4359140482e-07|1.8489117341e-10
               |8.0196320593e-07|1.6709396825e-10
         20551B|2.8796203509e-06|2.1543802283e-09
               |2.9034655765e-06|2.1902074366e-09
               |8.5164657349e-07|1.8843895764e-10
               |8.0874741201e-07|1.6993298817e-10
         20461G|8.7694682194e-07|1.9980134319e-10
               |8.9170111605e-07|2.0658106252e-10
               |9.3425463297e-07|2.2676833262e-10
               |8.4081094534e-07|1.8367438716e-10
           646G|9.2793989919e-07|2.2371318655e-10
               |9.2818106214e-07|2.2382948361e-10
               |9.1534521329e-07|2.1768159752e-10
               |9.8324162966e-07|2.5117268162e-10
          9200B|2.5671041012e-06|1.7121383200e-09
               |2.6884900365e-06|1.8778839455e-09
               |7.7585778837e-07|1.5639257654e-10
               |7.6977316324e-07|1.5394919371e-10
----------------------------------------------------------

   Nr Pastylki |     Sr Wsp Kal. |  Niepewnosc   
----------------------------------------------------------
             1B|3.5424814374e-06|3.2603712349e-09
               |3.4825246911e-06|3.1509411716e-09
               |8.0751179775e-07|1.6941413340e-10
               |9.2807769124e-07|2.2377963091e-10
             2G|3.5261925583e-06|3.2304567838e-09
               |3.3345782425e-06|2.8889079946e-09
               |9.2293493309e-07|2.2130644156e-10
               |8.7494881549e-07|1.9889193889e-10
----------------------------------------------------------

     Nr Kasety |           Dawka |  Niepewnosc   
----------------------------------------------------------
         20577B|-1.1335711179e-01|6.5287456047e-04
               |-4.8809721096e-05|6.4713163862e-04
               |-1.0083701994e-05|1.7825635178e-04
               |-1.6734041152e-05|1.7749131104e-04
         20580B|8.6879214737e-01|5.2428615905e-03
               |9.8698137028e-01|5.1381295333e-03
               |1.0716353457e+00|1.0948675521e-03
               |9.3489071744e-01|1.2627394558e-03
         18237B|8.7280544216e-01|5.2639544136e-03
               |1.0258461107e+00|5.3373060557e-03
               |9.4149508778e-01|9.6566665728e-04
               |9.8963445967e-01|1.3352595792e-03
         20441G|9.9978705511e-01|1.3713634245e-02
               |1.0070257513e+00|1.1920878960e-02
               |1.0691434225e+00|1.0173210639e-03
               |1.0711841166e+00|9.2582246017e-04
         20478G|9.8875623721e-01|1.3562361740e-02
               |9.3916379945e-01|1.1117800080e-02
               |9.5740124413e-01|9.1539193176e-04
               |9.4859844630e-01|8.2511808396e-04
         20578B|1.2310720220e-05|6.5287453442e-04
               |1.2202430274e-04|6.4713189637e-04
               |3.6973573978e-05|1.7825635538e-04
               |8.3670205758e-05|1.7749134489e-04
         20444B|1.0815829464e+00|5.7660098281e-03
               |1.0836978326e+00|5.6339905319e-03
               |9.9840750183e-01|1.0221060055e-03
               |1.0463427783e+00|1.4104570809e-03
         20551B|1.0791208023e+00|5.7530524022e-03
               |1.0617212557e+00|5.5212602058e-03
               |9.8898596294e-01|1.0127555534e-03
               |1.0375908748e+00|1.3988472186e-03
         10582B|2.1076814767e+00|1.1183041484e-02
               |2.0236876439e+00|1.0471246495e-02
               |2.2377011994e+00|2.2627408789e-03
               |2.3459753503e+00|3.1422238084e-03
         20465B|4.9224414800e-01|2.6878163772e-03
               |4.6080037444e-01|2.4661977475e-03
               |3.6578628983e-01|4.0955712361e-04
               |4.1834768198e-01|5.8692540186e-04
          7809*|   2.890209e+00|   3.051227e-02
               |3.0426890203e+00|2.9528752269e-02
               |2.1235698600e+00|2.4223415993e-03
               |2.1350820299e+00|2.9479658054e-03
         20461G|1.0775303904e+00|1.4779786659e-02
               |1.0984286966e+00|1.3002567526e-02
               |1.0184771484e+00|9.7104389148e-04
               |1.1246296286e+00|9.6990893335e-04
           646G|1.0184908300e+00|1.3970131613e-02
               |1.0553964789e+00|1.2493308739e-02
               |1.0394634486e+00|9.9020096993e-04
               |9.6221153446e-01|8.3626818899e-04
          2750G|2.0122932802e+00|2.7599523870e-02
               |2.1621668415e+00|2.5592079292e-02
               |2.1059342309e+00|1.9745152300e-03
               |2.1234833730e+00|1.8031185535e-03
         20589G|4.4422501832e-01|6.0958670888e-03
               |5.0856434796e-01|6.0228906580e-03
               |4.1407701565e-01|4.3554057464e-04
               |4.6875405802e-01|4.4325623185e-04
          9200B|1.2092328043e+00|6.4382525877e-03
               |1.1457349881e+00|5.9523714894e-03
               |1.0853693478e+00|1.1085296433e-03
               |1.0899717704e+00|1.4683554636e-03
----------------------------------------------------------
